zipcode,population
ZCTA 02639,2875
ZCTA 02641,532
ZCTA 02642,4937
ZCTA 02643,26
ZCTA 02644,3955
ZCTA 02645,9663
ZCTA 02646,1676
ZCTA 02647,129
ZCTA 02648,7301
ZCTA 02649,14006
ZCTA 02650,848
ZCTA 02651,16
ZCTA 02652,1175
ZCTA 02653,5911
ZCTA 02655,3518
ZCTA 02657,2942
ZCTA 02659,1108
ZCTA 02660,6261
ZCTA 02663,173
ZCTA 02664,9371
ZCTA 02666,828
ZCTA 02667,2580
ZCTA 02668,3278
ZCTA 02669,285
ZCTA 02670,1307
ZCTA 02671,1023
ZCTA 02672,180
ZCTA 02673,8402
ZCTA 02675,6577
ZCTA 02702,4125
ZCTA 02703,43593
ZCTA 02713,52
ZCTA 02715,3123
ZCTA 02717,4745
ZCTA 02718,6655
ZCTA 02719,15873
ZCTA 02720,30287
ZCTA 02721,26290
ZCTA 02723,14767
ZCTA 02724,16908
ZCTA 02725,2631
ZCTA 02726,15534
ZCTA 02738,4907
ZCTA 02739,6045
ZCTA 02740,43087
ZCTA 02743,10307
ZCTA 02744,11900
ZCTA 02745,24576
ZCTA 02746,15342
ZCTA 02747,22927
ZCTA 02748,11442
ZCTA 02760,26739
ZCTA 02762,8264
ZCTA 02763,1973
ZCTA 02764,3988
ZCTA 02766,19031
ZCTA 02767,13566
ZCTA 02769,11608
ZCTA 02770,5093
ZCTA 02771,13708
ZCTA 02777,15840
ZCTA 02779,6411
ZCTA 02780,49036
ZCTA 02790,15717
ZCTA 02791,246
ZCTA 02802,786
ZCTA 02804,2607
ZCTA 02806,16310
ZCTA 02807,1051
ZCTA 02808,2401
ZCTA 02809,22938
ZCTA 02812,1497
ZCTA 02813,7831
ZCTA 02814,7496
ZCTA 02815,278
ZCTA 02816,32611
ZCTA 02817,6135
ZCTA 02818,18082
ZCTA 02822,6111
ZCTA 02825,5377
ZCTA 02826,791
ZCTA 02827,2172
ZCTA 02828,7704
ZCTA 02830,5976
ZCTA 02831,3515
ZCTA 02832,4608
ZCTA 02833,784
ZCTA 02835,5405
ZCTA 02836,136
ZCTA 02837,3492
ZCTA 02838,3400
ZCTA 02839,1902
ZCTA 02840,23335
ZCTA 02841,1392
ZCTA 02842,16095
ZCTA 02852,22551
ZCTA 02857,8412
ZCTA 02858,570
ZCTA 02859,6738
ZCTA 02860,45199
ZCTA 02861 (part),14
ZCTA 02861 (part),26164
ZCTA 02863,19385
ZCTA 02864,33396
ZCTA 02865,16951
ZCTA 02871,17171
ZCTA 02872,218
ZCTA 02873,235
ZCTA 02874,5860
ZCTA 02875,307
ZCTA 02876,430
ZCTA 02878,15780
ZCTA 02879,20371
ZCTA 02881,7841
ZCTA 02882,14184
ZCTA 02885,10627
ZCTA 02886,29269
ZCTA 02888,19912
ZCTA 02889,28217
ZCTA 02891,21198
ZCTA 02892,4988
